Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
Beta 2,dU(class),-1.70839,59,1.569964525,16.650761,1.166077,6.8771758,9.3597488,6.8909693,7.967082,2,1,2,0,1,1,0,0,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0.142857143,0,0,0
Beta 2,dU,-5.13321,-99999,0,3.5821753,0.63754684,1.8116419,9.7632265,7.7819943,8.9769268,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,dE(class),-0.45,73,0.152833736,6.3716474,1.1668242,2.8200796,7.8244381,5.3252153,6.4776225,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,dE,-3.95622,-99999,0,12.157955,0.93415672,7.589664,7.4751987,4.9227901,6.4836864,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0.857142857,0,0.142857143,0,0
H1,dU(class),-1.6064,17,0,11.866706,1.1679881,7.472609,8.2246542,5.3701162,6.6177397,4,1,0,0,1,1,0,0,7,0,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,0,0
H1,dU,-4.26093,-99999,0,12.780952,1.5277922,6.5867801,6.6282868,4.6312828,5.774621,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0.571428571,0,0.428571429,0,0
M1,dE(class),-0.691667,57,1.591406051,16.527851,1.1651175,8.9102068,9.0921793,3.4673228,6.5070853,3,1,1,0,0,2,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0,0.285714286,0,0,0
M1,dE,-4.75101,3,2.748792271,10.048433,0.70240599,6.1978273,9.1159611,5.8341041,7.0303326,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,1
M1,dU(class),-2.90345,16,2.061594203,15.070384,1.5312704,8.3672552,8.721159,3.4673228,6.9742999,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,1
M1,dU,-4.72783,-99999,0,5.8434424,0.56070399,3.9136176,9.5140934,6.403563,7.9552765,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,dE(class),-1.38636,-99999,0,10.081008,0.091954507,5.3296332,9.5138502,2.6983023,7.4320331,0,1,4,0,0,1,1,0,7,0,0,0.142857143,0.571428571,0,0,0.142857143,0.142857143,0,0
M2,dE,-0.975,-99999,0,15.705109,0.15925643,6.8711619,9.2825623,2.6983023,5.2841978,0,4,2,0,0,1,0,0,7,0,0,0.571428571,0.285714286,0,0,0.142857143,0,0,0
M2,dU(class),-0.1,194,0.830091422,11.204031,0.1424313,6.103271,7.757431,2.4160342,5.5475125,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
M2,dU,-2.26207,-99999,0,16.800999,0.78623027,9.7812634,10.245285,6.1614728,8.2734385,0,0,0,0,2,0,5,0,7,0,0,0,0,0,0.285714286,0,0.714285714,0,0
M4,dE(class),-0.122222,47,1.061963419,12.773146,1.0822611,7.4644046,9.0111437,3.9042709,6.1012344,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,0
M4,dE,-2.12778,1,0,15.359131,1.3907092,7.6025276,9.7346087,5.0179338,7.1698093,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,0
M4,dU(class),-1.47778,57,0.875654047,15.036624,1.1693492,8.0140839,8.9300785,3.1334169,5.8112473,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
M4,dU,-6.94097,-99999,0,9.5245247,0.65968722,4.8972688,9.7710333,7.7819438,8.9978781,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,dE(class),-1.81549,167,0.43681867,9.4315252,0.75621164,4.4819326,7.8259101,4.9590192,6.0777998,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,0
OPRD,dE,-4.3353,13,0,11.451571,1.1672163,6.1839066,7.3901858,4.7553058,5.8689752,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,0
OPRD,dU(class),-0.342105,328,0.934099437,5.4791379,1.339862,3.7455769,7.8259101,3.61043,5.5548768,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
OPRD,dU,-5.27244,-99999,0,13.652857,1.5954263,7.4811964,8.0913458,4.944119,6.4539795,1,0,0,0,3,0,3,0,7,0,0.142857143,0,0,0,0.428571429,0,0.428571429,0,0
OPRK,dE(class),-0.935714,34,2.988445378,11.605652,1.1183617,5.2936969,9.3384333,5.808115,7.966239,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,1
OPRK,dE,-5.35759,-99999,0,13.145735,1.3052363,8.711628,9.1865635,4.0604091,7.3372054,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,0
OPRK,dU(class),-1.61706,7,0,16.991034,1.8162538,9.4123955,9.7464895,4.8855443,7.9757457,3,0,1,0,1,1,0,1,7,0,0.428571429,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0
OPRK,dU,-6.5204,1,0,6.0151463,0.56696558,2.9937885,9.1865635,6.9080129,7.8282127,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
OPRM,dE(class),-0.628571,354,0.940144974,6.2632308,0.77097988,4.0917931,5.4519372,2.4798608,3.8557076,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,dE,-5.40418,-99999,0,11.773111,0.55587226,4.7066236,7.2324171,3.5477998,4.5780721,1,1,0,0,5,0,0,0,7,0,0.142857143,0.142857143,0,0,0.714285714,0,0,0,0
OPRM,dU(class),-0.504348,299,0.897646242,7.5264053,1.1091303,4.4118433,5.4519372,2.7437243,4.1624064,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
OPRM,dU,-3.75934,-99999,0,11.185822,0.51705027,6.9214067,7.7132754,3.6711664,5.639514,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0.428571429,0,0.571428571,0,0
5HT1B,dE(class),-0.216667,61,2.870113493,14.777997,1.1645132,7.9017963,10.749083,5.0763645,8.527544,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
5HT1B,dE,-4.49637,-99999,0,17.045998,1.1645132,11.312482,10.601196,5.3994145,8.8649368,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,0
5HT1B,dU(class),-0.118182,32,0.820673077,17.448446,0.88897359,9.0486498,10.749083,5.6096787,7.8808203,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,dU,-4.27378,3,2.917948718,8.2198868,1.2708509,4.2462835,9.0561609,6.1781516,7.9938798,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,dE(class),-0.4,265,0.773979816,11.533735,1.1689938,5.7200589,7.7865977,3.9519479,6.4088774,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
5HT2B,dE,-4.33931,2,0,12.564578,1.0023826,5.9473701,8.602169,4.674387,6.6105814,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,0
5HT2B,dU(class),-0.11875,29,0.456295108,14.334533,1.4122893,8.0676184,7.7865977,3.9519479,5.8723021,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU,-5.29485,-99999,0,11.522468,1.6147522,6.2385011,9.3196011,4.3206029,7.1799159,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dE(class),-2.29913,60,0.771899225,11.495595,1.4378891,5.3473272,8.079381,2.8838477,4.679296,3,2,1,0,1,0,0,0,7,0,0.428571429,0.285714286,0.142857143,0,0.142857143,0,0,0,0
5HT2C,dE,-4.14512,1,0,13.754385,1.0472271,5.6887755,9.3874969,2.2861462,4.5699325,0,1,0,0,4,2,0,0,7,0,0,0.142857143,0,0,0.571428571,0.285714286,0,0,0
5HT2C,dU(class),-0.147059,40,0.49622093,11.444683,0.55258757,6.6236386,8.079381,4.0991793,6.2249508,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,0
5HT2C,dU,-5.57283,1,0,5.6438432,1.1392862,3.1542819,4.7140489,1.7678758,3.2753875,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
A2A,dE(class),-1.54,22,1.78369906,10.111151,1.2674928,6.3031507,6.1245971,3.827318,5.1489506,2,0,2,0,0,1,0,2,7,0,0.285714286,0,0.285714286,0,0,0.142857143,0,0.285714286,0
A2A,dE,-4.10741,203,0.773229149,10.898169,1.9478753,5.6003246,7.1928763,2.0663736,4.6612744,1,0,2,0,1,3,0,0,7,0,0.142857143,0,0.285714286,0,0.142857143,0.428571429,0,0,0
A2A,dU(class),-3.27665,20,0.981034483,15.202851,0.60035491,7.4941158,10.440987,3.9074731,6.5196357,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,dU,-4.26954,-99999,0,15.200411,0.97112304,8.0181236,10.08287,3.9074731,6.0261416,0,1,1,0,3,0,0,2,7,0,0,0.142857143,0.142857143,0,0.428571429,0,0,0.285714286,0
A2C,dE(class),-0.741667,336,0.793805804,7.9637055,1.1672884,4.3022857,8.6265497,1.9562446,5.443491,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
A2C,dE,-3.90874,1,0,11.661752,1.0223062,7.8594642,8.7283621,2.6831472,5.9740396,1,0,0,0,5,0,0,1,7,0,0.142857143,0,0,0,0.714285714,0,0,0.142857143,0
A2C,dU(class),-0.3,132,0.673532197,12.972508,1.5307946,5.6155124,8.7283621,1.9562446,4.234128,6,0,0,0,0,0,0,1,7,0,0.857142857,0,0,0,0,0,0,0.142857143,0
A2C,dU,-3.88375,-99999,0,11.17331,0.1232028,6.5134401,8.2962284,2.361326,5.0247469,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,dE(class),-0.864286,1,0,18.741371,1.1475755,10.271137,10.064498,4.9861307,7.6004906,3,1,1,0,0,0,0,2,7,0,0.428571429,0.142857143,0.142857143,0,0,0,0,0.285714286,0
Beta 2,dE,-4.73053,-99999,0,15.323845,0.62019795,9.4857531,9.7632265,4.7672119,7.5285616,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,dU(class),-1.47143,6,0,16.85998,1.3378184,7.8859081,9.4673042,7.111032,8.4720306,2,2,2,0,0,0,0,1,7,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0.142857143,0
Beta 2,dU,-4.55917,-99999,0,3.5821753,0.53284705,1.8472801,9.7632265,7.7819943,8.9440165,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,dE(class),-0.386364,165,0.74379085,6.3716474,1.1668242,3.0616755,7.8244381,4.3968668,6.2503662,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,dE,-4.45635,-99999,0,13.24171,1.0881802,8.4947538,7.6107655,5.8287435,6.7350154,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,dU(class),-0.283333,17,0,12.313594,1.5434422,8.0328846,7.5276074,5.0162477,5.9866614,4,2,1,0,0,0,0,0,7,0,0.571428571,0.285714286,0.142857143,0,0,0,0,0,0
H1,dU,-4.18175,-99999,0,11.210562,1.6187122,6.1845651,8.1534681,5.8066292,6.7937779,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M1,dE(class),-0.646154,5,4.947826087,15.21464,1.5312704,9.8374758,8.721159,3.4673228,7.0555687,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,1
M1,dE,-4.91477,3,2.748792271,10.097594,0.70240599,6.2093716,9.1159611,5.8341041,7.0362029,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,1
M1,dU(class),-0.841667,10,4.123188406,13.968588,1.5312704,8.3755693,8.7682724,3.4673228,6.6396818,5,0,1,0,0,0,0,1,7,0,0.714285714,0,0.142857143,0,0,0,0,0.142857143,1
M1,dU,-4.72783,-99999,0,5.8434424,0.56070399,3.9136176,9.5140934,6.403563,7.9552765,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,dE(class),-1.31,-99999,0,10.327492,0.092528112,6.1438823,9.5216246,2.6983023,6.5018358,0,3,4,0,0,0,0,0,7,0,0,0.428571429,0.571428571,0,0,0,0,0,0
M2,dE,-0.94,1,10.73584906,16.428482,0.15925643,6.4405904,9.6859398,2.6983023,5.0900803,0,4,1,0,0,2,0,0,7,0,0,0.571428571,0.142857143,0,0,0.285714286,0,0,1
M2,dU(class),-0.1,139,1.235781186,11.568931,1.6943507,6.4174981,7.757431,2.4160342,5.8807569,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
M2,dU,-3.73333,-99999,0,5.9936423,0.540075,3.0887859,9.010787,4.4286828,6.8876829,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M4,dE(class),-0.1125,99,0.907496013,11.474065,0.73048931,6.071701,8.1142197,3.9042709,5.4245868,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,0
M4,dE,-2.12778,1,0,15.359131,1.3907092,7.6025276,9.7346087,5.0179338,7.1698093,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,0
M4,dU(class),-1.65,57,0.875654047,15.036624,1.1693492,8.0140839,8.9300785,3.1334169,5.8112473,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
M4,dU,-6.412,179,0.489041685,9.5245247,0.87619948,5.5384297,9.7346087,7.7819438,8.7554274,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,dE(class),-0.564286,66,1.326340326,5.7086854,0.75621164,3.1831779,7.8259101,4.9590192,6.2595577,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0
OPRD,dE,-3.84036,68,1.930995475,11.451571,1.1513683,6.4403315,7.3848462,4.7553058,5.733695,3,1,0,0,2,1,0,0,7,0,0.428571429,0.142857143,0,0,0.285714286,0.142857143,0,0,0
OPRD,dU(class),-0.791667,2,0,6.1818871,1.339862,3.6666405,7.8259101,3.61043,5.3544869,3,1,0,0,0,1,0,2,7,0,0.428571429,0.142857143,0,0,0,0.142857143,0,0.285714286,0
OPRD,dU,-4.47493,223,1.685858424,4.3814712,1.091728,2.4352429,7.4313354,4.7553058,6.2018924,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
OPRK,dE(class),-1,-99999,0,6.930687,1.1183617,4.2815633,9.3384333,5.808115,7.5769324,3,2,1,0,0,1,0,0,7,0,0.428571429,0.285714286,0.142857143,0,0,0.142857143,0,0,0
OPRK,dE,-5.69395,1,0,18.851009,1.7228479,9.8291712,10.534269,3.939713,7.5068417,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,0
OPRK,dU(class),-2.82058,3,0,16.306683,1.8162538,10.638532,9.2171097,4.8855443,7.9377465,4,0,1,0,1,0,0,1,7,0,0.571428571,0,0.142857143,0,0.142857143,0,0,0.142857143,0
OPRK,dU,-4.91406,251,1.539803052,7.3403029,1.6276981,4.027823,9.1865635,6.0771585,7.540319,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
OPRM,dE(class),-0.716667,1,0,10.904189,0.77097988,4.9906063,7.7149844,2.5739269,4.4123244,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,dE,-5.33984,417,0.952581331,11.77015,0.55587226,5.1787043,7.2324171,3.5874903,4.6813912,2,1,0,0,4,0,0,0,7,0,0.285714286,0.142857143,0,0,0.571428571,0,0,0,0
OPRM,dU(class),-0.764286,1,0,7.5264053,1.1091303,4.1441598,5.4519372,1.7050276,3.9711382,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,dU,-5.45424,1,0,6.4195795,0.714091,3.5076087,4.9511218,3.5874903,4.4426904,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
5HT1B,dE(class),-0.2,11,0,14.777997,1.4728123,8.958395,10.749083,5.0763645,7.904839,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT1B,dE,-2.41703,2,0,16.394461,1.1645132,10.052477,10.601196,4.5251694,8.3221264,1,3,0,0,1,2,0,0,7,0,0.142857143,0.428571429,0,0,0.142857143,0.285714286,0,0,0
5HT1B,dU(class),-0.259091,7,0,17.448446,0.7509377,9.8077917,10.749083,5.5635157,8.1789465,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,dU,-4.76385,-99999,0,4.5955496,0.54174346,2.3033302,9.6243925,7.7852659,8.4230347,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dE(class),-0.366667,87,0.912590217,11.533735,0.65266377,5.5950651,7.7865977,3.9519479,6.2629485,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
5HT2B,dE,-3.09905,-99999,0,15.958681,0.97689557,9.7503462,11.335112,4.6195149,7.4904723,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
5HT2B,dU(class),-0.108333,18,0.735142119,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU,-6.0816,-99999,0,4.2672906,0.7130428,2.0596275,9.0666437,7.2850819,8.2762594,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2C,dE(class),-1.30219,20,0.661627907,12.274061,0.92677397,6.9155111,8.6641617,3.7707212,5.9358664,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0
5HT2C,dE,-3.95629,3,2.205426357,7.7615848,1.0472271,3.7594984,4.9886174,2.2732315,3.6270204,0,1,0,0,4,2,0,0,7,0,0,0.142857143,0,0,0.571428571,0.285714286,0,0,1
5HT2C,dU(class),-0.316667,30,0.441085271,11.444683,0.13321474,5.7764959,8.079381,3.3560894,5.3478794,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,0
5HT2C,dU,-4.29678,-99999,0,5.6832442,0.20224737,3.3891847,4.9096828,2.6624832,3.9307621,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
A2A,dE(class),-1.12222,70,1.121182266,10.111151,1.5324885,6.5251384,6.1245971,3.827318,5.1387,3,0,2,0,0,1,0,1,7,0,0.428571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0
A2A,dE,-1.00833,158,0.6209079,10.898169,2.6907358,5.7911673,7.1928763,2.0663736,4.6987486,3,0,2,0,0,1,0,1,7,0,0.428571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0
A2A,dU(class),-0.1,23,0,15.153275,1.1655952,7.6671844,10.404747,4.6175466,7.6230569,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2A,dU,-3.72357,157,0.999780365,7.7928762,0.87605709,4.7681007,9.8637495,3.6521754,6.3554144,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2C,dE(class),-0.58125,132,0.808238636,7.9078031,1.0460922,4.159831,8.6265497,1.5762047,4.5510964,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,dE,-4.9885,1,0,11.595148,1.0712175,7.6823382,8.7283621,1.8813845,5.9023485,0,1,0,0,4,1,0,1,7,0,0,0.142857143,0,0,0.571428571,0.142857143,0,0.142857143,0
A2C,dU(class),-0.106667,145,0.858405172,7.4049954,1.1825762,3.7679513,5.2109952,1.5302311,3.2058234,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2C,dU,-6.74962,-99999,0,13.13256,0.74627477,7.6735892,10.533068,1.8813845,5.3694992,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,dE(class),-1.04,5,10.58604651,17.837337,2.7120407,8.7329845,10.064498,4.0576906,6.900806,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,1
Beta 2,dE,-3.12773,-99999,0,15.870665,2.4395158,8.8029575,10.369191,4.0576906,7.7215285,1,0,2,0,3,0,0,1,7,0,0.142857143,0,0.285714286,0,0.428571429,0,0,0.142857143,0
Beta 2,dU(class),-1.5779,10,0,15.437044,0.66412967,8.0906096,9.3597488,6.8909693,7.9228745,2,1,1,0,1,2,0,0,7,0,0.285714286,0.142857143,0.142857143,0,0.142857143,0.285714286,0,0,0
Beta 2,dU,-6.35411,-99999,0,4.6383209,0.57491392,2.095546,9.4101839,8.1397038,8.8508205,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
H1,dE(class),-0.45,73,0.152833736,6.3716474,1.1668242,2.8200796,7.8244381,5.3252153,6.4776225,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,dE,-4.26153,-99999,0,10.122565,0.71503025,3.9901295,8.1258125,4.5861125,6.9808288,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
H1,dU(class),-1.6064,17,0,11.866706,1.1679881,7.472609,8.2246542,5.3701162,6.6177397,4,1,0,0,1,1,0,0,7,0,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,0,0
H1,dU,-4.03928,4,2.789215686,10.004568,0.6582849,4.0087914,8.1754122,4.5861125,7.0560002,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,1
