,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,1.2304108640769362,0.057723019758007144,0.8707521304298927,1.1913197553018715,1.4520656360432163,0.4709377692683809,1.0680569857131725,0.06213697660011978,-0.5891945850628274,0.893895575967301,0.8305184426448999,-0.9268828337045417,-0.483896431160561,-0.1520816052569993,0.0,5HT1B,170,dE(class),moefrags,4,0,0
1,-0.8196409294232059,-0.6274861938563832,1.4229944778379482,2.1772557104104324,1.3574202005339626,0.6807871609505608,1.750167877953594,0.06213697660011978,-0.5891945850628274,-0.3772777129582853,0.8305184426448999,0.17604410908106818,1.3939106151341534,-0.1520816052569993,0.0,5HT1B,26,dE,moefrags,4,1,0
2,1.213326206901143,1.9182563706137477,1.4649191010531581,1.393639365868401,1.4520656360432163,0.7873853253038059,1.0047979122826645,0.06213697660011978,1.6972321629421747,1.741344437228406,-0.6090468578052339,-0.9268828337045417,-0.483896431160561,-0.1520816052569993,0.0,5HT1B,561,dU(class),moefrags,3,0,0
3,-0.6498079308982758,-0.7416877294587816,-1.050925601036568,-0.9404642156557271,0.3246293328883298,1.1866454080186468,1.0936089771312227,0.06213697660011978,-0.5891945850628274,-0.8010021435888379,-0.6090468578052339,1.278971049293182,-0.483896431160561,-0.1520816052569993,0.0,5HT1B,2,dU,moefrags,5,1,0
4,1.159099087223627,-0.7464461267755482,1.1586821054719367,0.9418849913338204,0.3595900398046789,-0.25946972030705806,0.2612011086748563,0.06213697660011978,-0.5891945850628274,0.893895575967301,0.8305184426448999,-0.9268828337045417,1.3939106151341534,-0.1520816052569993,0.0,5HT2B,1,dE(class),moefrags,6,1,0
5,-1.1703705779600506,-0.6560365777569828,0.33180011746447086,0.11359654539791984,0.07807325989850368,-0.1517306196543218,-0.559670478449456,0.06213697660011978,1.6972321629421747,-1.2247265742193902,-0.6090468578052339,1.646613363555052,-0.483896431160561,-0.1520816052569993,0.0,5HT2B,20,dE,moefrags,3,0,0
6,1.2684327084258826,-0.736929332142015,0.762771754605118,0.6593166172144519,-0.44387999412211954,0.5378057696253257,-0.2189970102855065,0.06213697660011978,1.6972321629421747,1.741344437228406,-0.6090468578052339,-0.9268828337045417,-0.483896431160561,-0.1520816052569993,0.0,5HT2B,3,dU(class),moefrags,6,1,0
7,-1.633763887832739,-0.6703117697072826,-1.4350868550467992,-1.4647461417330165,0.4839620663559156,1.4394918065255096,1.393144559691558,0.06213697660011978,1.6972321629421747,-1.2247265742193902,-0.6090468578052339,1.646613363555052,-0.483896431160561,-0.1520816052569993,0.0,5HT2B,17,dU,moefrags,3,0,0
8,0.6949848555443676,1.6184773396574519,0.07273721049453773,0.06427120306840205,-0.25650312571356193,-0.3771924033331189,-0.7560632741809837,0.06213697660011978,-0.5891945850628274,0.04644671767226717,0.8305184426448999,-0.5592405194426718,1.3939106151341534,-0.1520816052569993,0.0,5HT2C,498,dE(class),moefrags,4,0,1
9,-0.8166715881208928,1.6375109289245184,0.6215097827787877,-0.05840253315961574,0.5806711969252022,-1.2253994221907276,-1.2933453753369686,0.06213697660011978,-0.5891945850628274,-0.8010021435888379,-0.6090468578052339,0.9113287350313118,1.3939106151341534,-0.1520816052569993,0.0,5HT2C,502,dE,moefrags,3,0,1
