Receptor,subset,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,moefrags,dE(class),-0.82,81,1.080721747,10.756951,1.1675643,6.5236392,5.9069619,4.1466012,5.2094984,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT1B,moefrags,dE,-5.21972,164,1.601313321,7.2933865,1.1670432,3.9445424,7.018496,3.6364298,5.1054287,1,2,0,0,2,2,0,0,7,0,0.142857143,0.285714286,0,0,0.285714286,0.285714286,0,0,0
5HT1B,moefrags,dU(class),-0.84375,488,1.022477932,11.109746,1.091625,5.292654,8.8731441,3.4409468,5.3760886,3,1,1,0,0,1,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.142857143,0
5HT1B,moefrags,dU,-6.90869,49,0.893249608,11.233754,1.1574062,5.7853937,10.14824,3.8943837,6.1185575,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
5HT2B,moefrags,dE(class),-0.294118,210,1.260243632,13.242832,1.050144,5.3035259,9.5808125,4.378633,7.145504,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT2B,moefrags,dE,-3.96792,8,2.481104651,12.685421,0.52584219,5.4051256,8.7649374,3.9183366,6.2667823,1,1,1,0,2,1,0,1,7,0,0.142857143,0.142857143,0.142857143,0,0.285714286,0.142857143,0,0.142857143,1
5HT2B,moefrags,dU(class),-0.294118,83,1.355141496,12.685421,0.68668193,4.9592943,8.7649374,4.378633,6.9720898,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT2B,moefrags,dU,-5.30439,18,0.367571059,12.538817,0.7626965,5.1458297,8.8374205,4.1669316,5.7840562,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,moefrags,dE(class),-2.16456,4,1.654069767,8.1575193,0.65010864,3.5587661,8.6353359,6.1097984,7.3245344,3,1,0,0,1,2,0,0,7,0,0.428571429,0.142857143,0,0,0.142857143,0.285714286,0,0,0
5HT2C,moefrags,dE,-3.66252,45,0.882170543,12.480606,1.1650673,8.2448149,8.6353359,3.623378,6.1102767,1,2,0,0,3,1,0,0,7,0,0.142857143,0.285714286,0,0,0.428571429,0.142857143,0,0,0
5HT2C,moefrags,dU(class),-0.268421,137,1.11076218,12.014709,0.25784606,7.7109022,7.6570601,2.9722939,6.4340367,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT2C,moefrags,dU,-4.49733,38,0.522337821,4.186532,0.65709054,2.0875857,10.173954,6.1144233,8.5812521,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
A2A,moefrags,dE(class),-0.445455,49,1.201266714,11.92933,1.163801,7.0275626,7.2460117,5.118731,6.0130873,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
A2A,moefrags,dE,-3.46623,508,1.12007874,15.035348,0.6148752,7.9441361,9.7635202,5.118731,6.7682872,2,1,1,0,3,0,0,0,7,0,0.285714286,0.142857143,0.142857143,0,0.428571429,0,0,0,0
A2A,moefrags,dU(class),-0.354545,14,2.802955665,13.191724,0.79440302,6.936028,8.7623663,5.1211267,6.6276884,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
A2A,moefrags,dU,-3.31403,35,5.60591133,7.2770076,0.76429117,3.297734,10.812245,4.7597623,8.8514957,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,1
A2C,moefrags,dE(class),-0.196296,567,0.972167108,4.2945452,0.77364534,2.4251282,8.2411041,6.360158,7.4676018,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,moefrags,dE,-3.21587,18,1.975694444,13.073164,1.1285287,5.9833174,8.1691561,3.4084816,5.7461524,1,2,0,0,3,1,0,0,7,0,0.142857143,0.285714286,0,0,0.428571429,0.142857143,0,0,0
A2C,moefrags,dU(class),-0.38,567,1.003527337,10.053795,0.8655085,4.8928871,8.1453133,3.7776163,6.5795445,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
A2C,moefrags,dU,-5.10084,32,5.556640625,15.759806,0.63429981,7.3704591,9.8790655,5.0622468,8.1750555,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
Beta 2,moefrags,dE(class),-0.126667,558,1.019713262,4.027916,0.093442015,1.925092,7.5124044,5.3502383,6.5479617,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,0
Beta 2,moefrags,dE,-1.52963,213,1.11824435,15.990948,1.1648237,7.2624693,9.1926546,2.7723558,6.6332908,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,0
Beta 2,moefrags,dU(class),-0.267857,514,1.029771061,14.564571,1.1648237,6.8578119,9.1926546,2.7723558,6.4015536,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
Beta 2,moefrags,dU,-4.68488,17,0.778385773,5.3135977,1.0880904,2.5763104,8.182229,3.7069426,6.1565571,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,moefrags,dE(class),-0.391667,567,1.003527337,7.8387733,1.2679,3.5768666,8.5106344,4.2666359,6.7840767,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,moefrags,dE,-0.35,569,1,5.7000937,0.60663497,2.8744273,8.3229437,4.5954642,7.0126681,3,2,0,0,0,2,0,0,7,0,0.428571429,0.285714286,0,0,0,0.285714286,0,0,0
H1,moefrags,dU(class),-0.2,567,1.003527337,15.473507,0.982858,6.3115444,9.1777706,4.5954642,7.2654676,4,1,0,0,0,2,0,0,7,0,0.571428571,0.142857143,0,0,0,0.285714286,0,0,0
H1,moefrags,dU,-1.32722,6,1.859477124,14.923823,0.95125997,9.4270496,10.959352,5.6656356,7.9908786,1,0,0,0,2,0,4,0,7,0,0.142857143,0,0,0,0.285714286,0,0.571428571,0,0
M1,moefrags,dE(class),-1.9208,31,1.064048621,7.0277243,0.10205755,4.1739082,9.0355549,5.056201,7.0299535,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,0
M1,moefrags,dE,-4.96681,161,0.460977586,12.300966,0.57153654,4.809051,7.5412936,4.8561149,5.6942596,0,1,0,0,5,1,0,0,7,0,0,0.142857143,0,0,0.714285714,0.142857143,0,0,0
M1,moefrags,dU(class),-0.72,6,2.748792271,7.6105876,1.0801699,4.0606174,8.9225159,3.6838655,6.5087337,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
M1,moefrags,dU,-5.98534,14,0,15.303994,0.15583627,5.5542541,10.113561,5.0321321,6.2534199,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,moefrags,dE(class),-0.378571,11,3.903945111,17.773615,1.5309467,9.8487959,10.03732,7.0964193,8.8454275,5,0,0,0,0,1,0,1,7,0,0.714285714,0,0,0,0,0.142857143,0,0.142857143,1
M2,moefrags,dE,-4.17346,2,5.367924528,17.421717,2.3026588,9.1911974,10.116345,0.9704445,6.7537117,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
M2,moefrags,dU(class),-1.74521,4,8.051886792,17.773615,1.0302582,9.7616272,10.03732,7.0964193,8.9457407,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
M2,moefrags,dU,-5.3769,14,1.533692722,10.032668,2.1219175,5.7285991,9.9045973,0.9704445,5.6718373,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M4,moefrags,dE(class),-1.85385,551,0.851498074,11.24939,1.3384842,5.6042824,11.474718,1.9664854,5.9885821,2,1,1,0,0,1,0,2,7,0,0.285714286,0.142857143,0.142857143,0,0,0.142857143,0,0.285714286,0
M4,moefrags,dE,-1.13571,5,1.996491228,10.863677,1.3384842,5.7881103,11.474718,1.9664854,5.6849031,3,1,1,0,0,2,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0,0.285714286,0,0,0
M4,moefrags,dU(class),-1.78462,509,0.862923517,10.048429,0.67223656,4.5936022,11.474718,1.9664854,7.4338293,2,2,2,0,0,0,0,1,7,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0.142857143,0
M4,moefrags,dU,-6.37879,18,0.554580897,5.4896355,0.64488661,3.2142088,8.571414,4.0111585,7.2034092,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,moefrags,dE(class),-1.41735,121,1.326340326,15.843166,1.5433264,9.2038441,9.7123919,3.8044081,7.4038529,3,0,1,0,1,1,0,1,7,0,0.428571429,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0
OPRD,moefrags,dE,-4.64122,33,0.442113442,4.6813898,0.55785662,2.2067888,9.9242821,7.9896135,9.1991844,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
OPRD,moefrags,dU(class),-0.59375,223,1.046797746,8.7385683,1.1666714,5.334064,9.3818321,3.6702714,5.7783661,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRD,moefrags,dU,-4.84079,22,1.326340326,5.7678494,0.51202929,2.9896109,9.8067245,8.1916513,9.144289,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
OPRK,moefrags,dE(class),-0.9,532,1.069548872,14.672252,1.4723023,9.0024605,9.8813,5.7090173,7.5026956,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
OPRK,moefrags,dE,-3.76146,52,1.758585165,12.961965,1.4723023,8.2738686,10.138853,3.6066039,6.2640586,1,0,3,0,3,0,0,0,7,0,0.142857143,0,0.428571429,0,0.428571429,0,0,0,0
OPRK,moefrags,dU(class),-1.47857,261,1.245758073,14.672252,1.1671053,7.8480549,9.8813,2.9462502,6.2734203,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRK,moefrags,dU,-5.79846,1,10.16071429,12.510615,1.4067857,8.4556503,10.138853,4.1060524,7.0252299,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0.857142857,0,0.142857143,0,1
OPRM,moefrags,dE(class),-1.2,63,1.36328242,17.513536,1.164958,8.9759531,10.255476,7.7476344,8.8721304,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,moefrags,dE,-4.30481,15,0,16.135996,0.52009708,10.516305,10.255476,7.8136396,8.7845535,0,1,0,0,6,0,0,0,7,0,0,0.142857143,0,0,0.857142857,0,0,0,0
OPRM,moefrags,dU(class),-1.44286,469,1.144546808,14.44929,1.0685381,6.868413,9.7044811,6.8737245,8.1040087,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,moefrags,dU,-5.68727,14,0,15.177173,0.11957087,8.7627935,9.2611647,7.0579042,8.3573132,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT1B,ef,dE(class),-1.08889,57,1.075033738,15.111956,1.1675643,7.7617364,9.4054871,5.0712366,5.9607677,3,1,1,0,0,1,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.142857143,0
