Receptor,subset,match_features,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,ef,5,dE(class),-1.08889,57,1.075033738,15.111956,1.1675643,7.7617364,9.4054871,5.0712366,5.9607677,3,1,1,0,0,1,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.142857143,0
5HT1B,ef,5,dE,-6.05866,25,1.400615385,7.3310671,1.1670432,4.4206958,7.018496,3.6364298,5.2329836,0,2,0,0,3,2,0,0,7,0,0,0.285714286,0,0,0.428571429,0.285714286,0,0,0
5HT1B,ef,4,dU(class),-2.93637,161,1.087434305,16.51022,0.96878582,7.6677237,8.8731441,4.3561897,6.421277,2,1,0,0,1,1,0,2,7,0,0.285714286,0.142857143,0,0,0.142857143,0.142857143,0,0.285714286,0
5HT1B,ef,5,dU,-6.30012,3,2.917948718,8.8641481,1.6384398,4.8870177,7.018496,3.8943837,5.4983482,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,ef,5,dE(class),-0.335714,210,1.260243632,13.242832,1.050144,5.3035259,9.5808125,4.378633,7.145504,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT2B,ef,6,dE,-0.99,2,3.308139535,12.685421,0.52584219,4.8652239,8.7649374,4.378633,6.5319247,1,2,1,0,0,2,0,1,7,0,0.142857143,0.285714286,0.142857143,0,0,0.285714286,0,0.142857143,1
5HT2B,ef,5,dU(class),-0.335714,83,1.355141496,12.685421,0.68668193,4.9592943,8.7649374,4.378633,6.9720898,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT2B,ef,3,dU,-4.97175,21,0.630121816,12.538817,0.7626965,5.3570666,8.8374205,3.2639878,5.4765015,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,ef,5,dE(class),-0.32,18,1.470284238,13.237049,0.65611964,4.8579583,8.8911705,7.1729407,7.8835564,4,1,0,0,0,1,0,1,7,0,0.571428571,0.142857143,0,0,0,0.142857143,0,0.142857143,0
5HT2C,ef,5,dE,-3.14129,12,1.102713178,12.480606,1.1640269,8.0685053,8.6353359,3.623378,5.8725114,1,2,0,0,2,2,0,0,7,0,0.142857143,0.285714286,0,0,0.285714286,0.285714286,0,0,0
5HT2C,ef,5,dU(class),-0.390909,34,1.751367989,11.990654,1.1863139,7.6247287,7.6442127,2.9722939,6.1587095,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT2C,ef,3,dU,-4.17962,21,0.630121816,11.998508,1.233,5.4248538,9.2326584,3.623378,7.2313943,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
A2A,ef,5,dE(class),-0.522222,48,1.226293103,11.92933,1.163801,7.0524492,7.2460117,5.118731,6.0202971,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
A2A,ef,5,dE,-2.63333,11,1.78369906,13.003817,0.72316939,7.3277297,7.2460117,5.118731,6.1924043,2,1,1,0,2,1,0,0,7,0,0.285714286,0.142857143,0.142857143,0,0.285714286,0.142857143,0,0,0
A2A,ef,3,dU(class),-0.354545,558,0.914225683,13.734941,1.1669116,7.2521181,8.7623663,5.8422585,6.8853602,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
A2A,ef,3,dU,-3.76257,20,4.905172414,7.4348936,0.60995817,3.8871107,9.8252649,4.7631264,7.9847994,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
A2C,ef,3,dE(class),-0.219048,568,1.001760563,4.2945452,0.70372885,2.2463119,8.2411041,6.7297316,7.5955176,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
A2C,ef,5,dE,-2.85665,7,2.540178571,14.441643,1.1661844,8.2905655,8.7649403,6.1213369,7.5129795,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,1
A2C,ef,3,dU(class),-0.513636,566,1.005300353,12.906418,0.8655085,6.0201244,9.0911083,3.6105616,7.1854424,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
A2C,ef,3,dU,-5.26328,49,4.354591837,15.747607,0.68181342,7.4269333,9.8666725,4.1786127,7.6513162,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
Beta 2,ef,4,dE(class),-0.244444,98,1.755339345,5.2712951,0.096017599,2.1630678,8.314826,5.4010324,6.4589014,6,0,0,0,0,0,0,1,7,0,0.857142857,0,0,0,0,0,0,0.142857143,0
Beta 2,ef,5,dE,-1.68338,66,2.606412967,14.867053,1.1648237,7.0687423,9.1926546,2.7723558,5.979681,2,1,0,0,2,2,0,0,7,0,0.285714286,0.142857143,0,0,0.285714286,0.285714286,0,0,1
Beta 2,ef,4,dU(class),-0.3,353,1.162066012,11.598481,0.22863586,4.3534193,9.1926546,2.7723558,6.052104,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
Beta 2,ef,3,dU,-4.30296,17,0.778385773,5.3341618,1.0880904,3.0083957,8.182229,2.8508172,5.8366981,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
